optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,rnn_type,num_layers,use_bidirectional,use_dropout,use_batch_norm,use_layer_norm,aggregation_method,hidden_size,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,9,0.1,76.27,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,10,0.1,76.17,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,11,0.1,76.36,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,12,0.1,76.08,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,13,0.1,76.36,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,unknown_token,100,glove.6B.100d.txt,14,0.1,76.17,78.05
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,1,0.61,61.26,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,2,0.47,68.95,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,3,0.32,74.2,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,4,0.16,73.64,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,5,0.14,73.55,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,6,0.13,71.95,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,7,0.11,73.64,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,8,0.1,74.67,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,9,0.1,74.67,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,10,0.1,73.83,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,11,0.1,73.73,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,12,0.1,73.83,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,13,0.1,73.64,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,14,0.1,72.33,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,15,0.1,74.58,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,16,0.1,74.3,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,17,0.1,74.39,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,last_hidden,128,2,False,random,100,glove.6B.100d.txt,18,0.1,73.83,74.48
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,1,0.58,68.48,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,2,0.43,75.33,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,3,0.28,76.74,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,4,0.14,76.08,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,5,0.11,75.61,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,6,0.09,76.27,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,7,0.09,76.36,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,8,0.08,75.8,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,9,0.08,75.8,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,10,0.08,76.08,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,11,0.08,75.52,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,12,0.08,75.98,78.33
Adam,0.001,0.9,0.0001,32,100,10,RNN,LSTM,1,True,True,True,True,mean_pooling,64,2,False,unknown_token,100,glove.6B.100d.txt,13,0.09,75.98,78.33
