optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,num_filters,filter_sizes,dropout_rate,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,6,0.22,73.92,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,7,0.2,74.86,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,8,0.2,74.95,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,9,0.19,73.92,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,10,0.19,74.67,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,11,0.19,76.36,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,12,0.19,74.95,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,13,0.19,75.33,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,14,0.2,72.23,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,15,0.19,74.2,75.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[3, 4, 5]",0.7,2,False,random,100,glove.6B.100d.txt,16,0.2,74.11,75.52
